title,link,date
October 2021 Women's Scholarship Fund,/blog/october-2021-womens-scholarship-fund,"August 18, 2021"
R19: 100% Outcomes Within 4 Months Of Graduating,/blog/r19-100-outcomes-within-4-months-of-graduating,"July 13, 2021"
Student Interview: R20 On Remote Company Projects ,/blog/student-interview-clever-counsel-company-projects,"May 25, 2021"
Good Ideas for Better Variable Names,/blog/good-ideas-for-better-variable-names,"May 04, 2021"
TypeScript: How To Get Started,/blog/typescript-how-to-get-started,"April 21, 2021"
3 Patterns for Refactoring Your Code,/blog/three-simple-patterns-for-refactoring-your-code,"April 12, 2021"
From A Rithm Instructor: Technical Job Search Blockers,/blog/rithm-instructor-technical-job-search-blockers,"March 12, 2021"
Coming Up in Python: `match`,/blog/coming-up-in-python-match,"March 03, 2021"
2021 Rithm School Scholarships,/blog/2021-rithm-school-scholarships,"February 24, 2021"
6 Tips To Push Through The Discomfort Of The Job Search,/blog/push-through-discomfort-of-the-job-search,"February 17, 2021"
Our Updated Interview Process,/blog/our-updated-interview-process,"January 25, 2021"
Using The JavaScript Ternary Operator Effectively,/blog/using-the-javascript-ternary-operator,"November 09, 2020"
Seven Tips For Dealing With Imposter Syndrome,/blog/dealing-with-coding-bootcamp-imposter-syndrome,"October 20, 2020"
Alumni Spotlight: Genna Mergola,/blog/alumni-spotlight-genna-mergola,"October 13, 2020"
How To Get Into A Top Coding Bootcamp,/blog/how-to-get-into-top-coding-bootcamp-rithm-school,"September 22, 2020"
Taking Breaks: Why Being Busy Doesn't Equal Productivity,/blog/taking-breaks-for-productivity,"August 18, 2020"
Student Interview: R16 On Company Projects,/blog/student-interview-r16-on-remote-company-projects,"August 11, 2020"
5 Topics To Master Before Learning React Hooks,/blog/5-topics-to-master-before-learning-react-hooks,"July 28, 2020"
What You Can Learn From Learning A New Language,/blog/what-you-can-learn-from-learning-a-new-language,"July 21, 2020"
Software Engineering Careers Post Covid-19,/blog/software-engineering-careers-post-covid-19,"July 08, 2020"
What Coding Language You Should Learn To Get Hired In 2020,/blog/what-coding-language-you-should-learn-to-get-hired-in-2020,"July 02, 2020"
